p_edge,n_normal,n_edge,baseline_sse,improved_sse,delta_sse,baseline_var,improved_var,delta_var
0.04,100,100,0.005646897224026222,0.005092972569140723,-0.000553924654885499,0.00013790506004452202,0.00014199056072030945,4.085500675787422e-06
0.3,10000,10000,0.0013124515540414259,0.0011004291637381578,-0.00021202239030326808,4.078863095920951e-06,3.6681170605731534e-06,-4.107460353477972e-07
0.1,1000,1000,0.00274326568784814,0.002417502602317112,-0.00032576308553102775,2.1334416289909946e-05,2.2325748860096018e-05,9.913325701860723e-07
0.04,10000,10000,0.001280675381633,0.0011648490885437543,-0.00011582629308924566,4.006962312096468e-06,4.138017096108222e-06,1.3105478401175405e-07
0.3,1000,1000,0.0028920773306636087,0.0025083810218583104,-0.0003836963088052984,2.4451316735678887e-05,2.217131905421556e-05,-2.279997681463326e-06
0.2,1000,1000,0.002693284482327229,0.002319331070264828,-0.00037395341206240135,2.2676316108798935e-05,2.1022562131466453e-05,-1.653753977332482e-06
0.02,1000,1000,0.0028370731794817774,0.0026716062612808776,-0.00016546691820089983,2.298354160907091e-05,2.3699625017894575e-05,7.160834088236656e-07
0.1,100,100,0.005779220118328076,0.005077182897924478,-0.0007020372204035981,0.0001422055885742288,0.00015993135068233323,1.7725762108104418e-05
0.2,100,100,0.005262133626294712,0.004569745324372979,-0.0006923883019217328,0.00013246765245662775,0.00013201278395943094,-4.548684971968141e-07
0.04,1000,1000,0.0027933000264145826,0.0025473269680537603,-0.0002459730583608223,2.376483356619507e-05,2.4531944516530397e-05,7.671109503353259e-07
0.02,100,100,0.005811760816562035,0.005486604304456756,-0.00032515651210527925,0.00014653385067724172,0.00014966534888477057,3.1314982075288556e-06
0.1,10000,10000,0.0013475652416632552,0.0011799776474856812,-0.00016758759417757397,3.749115548795355e-06,3.7692732282979827e-06,2.0157679502627804e-08
0.01,100,100,0.005335052552162139,0.00514009445275851,-0.00019495809940362884,0.00015538409841184684,0.0001588670401331652,3.482941721318349e-06
0.2,10000,10000,0.0013184135148887376,0.0011190621261929767,-0.00019935138869576086,4.029862233898832e-06,3.885203653894104e-06,-1.4465858000472788e-07
0.01,10000,10000,0.001276907414687945,0.0012228285998001213,-5.4078814887823824e-05,3.920368176348171e-06,3.971383891660391e-06,5.101571531222011e-08
0.3,100,100,0.00552356628138384,0.004712020067428532,-0.0008115462139553081,0.0001301175916462757,0.00010982776314437044,-2.0289828501905246e-05
0.02,10000,10000,0.0013404093159033353,0.0012550442982198723,-8.536501768346299e-05,4.482679422954262e-06,4.582680960338982e-06,1.0000153738472052e-07
0.01,1000,1000,0.002703618422874658,0.0025896990306855704,-0.00011391939218908772,2.358935526464908e-05,2.4016922575404823e-05,4.275673107557433e-07
