x,true,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
-7.0,1.3498566943461955e-06,4.7472495e-06,2.1751538e-07,3.923503e-06,3.7580726e-06,2.9099701e-05,1.695156e-05,6.8539484e-06,2.6141934e-06,1.1488864e-05,1.7097375e-06
-6.964912280701754,1.5257676569502872e-06,5.112463e-06,2.3608324e-07,4.23684e-06,4.061552e-06,3.1253134e-05,1.8276929e-05,7.3493293e-06,2.8094448e-06,1.2364284e-05,1.84847e-06
-6.9298245614035086,1.7235417342770669e-06,5.5061114e-06,2.5624323e-07,4.5752995e-06,4.3896252e-06,3.356618e-05,1.9706114e-05,7.881033e-06,3.0193614e-06,1.3306614e-05,1.9986092e-06
-6.894736842105263,1.945753691385754e-06,5.93043e-06,2.7813377e-07,4.940907e-06,4.7442627e-06,3.605034e-05,2.1247177e-05,8.451819e-06,3.245043e-06,1.4320971e-05,2.1610997e-06
-6.859649122807017,2.1952631215202086e-06,6.3878374e-06,3.0190287e-07,5.3358362e-06,5.1276497e-06,3.8718514e-05,2.2908906e-05,9.064563e-06,3.487692e-06,1.5412892e-05,2.3370158e-06
-6.824561403508772,2.4752436779565484e-06,6.8809627e-06,3.27713e-07,5.762464e-06,5.5421006e-06,4.1584226e-05,2.4700774e-05,9.722408e-06,3.7485913e-06,1.658832e-05,2.5273844e-06
-6.7894736842105265,2.78921503652875e-06,7.412611e-06,3.557356e-07,6.2233457e-06,5.990166e-06,4.466226e-05,2.6633053e-05,1.04287055e-05,4.0290947e-06,1.7853614e-05,2.7334695e-06
-6.754385964912281,3.1410778134974732e-06,7.9858255e-06,3.8616778e-07,6.7205583e-06,6.4745486e-06,4.7968315e-05,2.8716622e-05,1.1187029e-05,4.330719e-06,1.9215791e-05,2.9566097e-06
-6.719298245614035,3.5351516786263096e-06,8.6039e-06,4.1921334e-07,7.2584407e-06,6.99823e-06,5.1519244e-05,3.0963452e-05,1.2001352e-05,4.655036e-06,2.0682117e-05,3.198156e-06
-6.684210526315789,3.976216919211653e-06,9.270394e-06,4.550978e-07,7.839559e-06,7.5644093e-06,5.5333254e-05,3.3386325e-05,1.2875876e-05,5.003761e-06,2.2260761e-05,3.4597297e-06
-6.649122807017544,4.469559727371853e-06,9.9891395e-06,4.942035e-07,8.4673875e-06,8.176515e-06,5.9429814e-05,3.599903e-05,1.381499e-05,5.37877e-06,2.3960209e-05,3.7429597e-06
-6.614035087719298,5.021021500126477e-06,1.07642845e-05,5.3652616e-07,9.145691e-06,8.838309e-06,6.382998e-05,3.8816568e-05,1.482359e-05,5.78207e-06,2.578979e-05,4.0496648e-06
-6.578947368421053,5.637052459669022e-06,1.1600334e-05,5.8248634e-07,9.877878e-06,9.553793e-06,6.855611e-05,4.185485e-05,1.5906864e-05,6.215738e-06,2.7759477e-05,4.3818063e-06
-6.543859649122807,6.324769919733391e-06,1.2502097e-05,6.324039e-07,1.0669723e-05,1.0327425e-05,7.363283e-05,4.5131295e-05,1.7070499e-05,6.682139e-06,2.9880073e-05,4.741529e-06
-6.508771929824562,7.0920215430439194e-06,1.3474814e-05,6.866152e-07,1.1525309e-05,1.1163915e-05,7.908556e-05,4.8664588e-05,1.8320472e-05,7.1836657e-06,3.2163127e-05,5.13118e-06
-6.473684210526316,7.947453954483115e-06,1.4524123e-05,7.4549604e-07,1.2449788e-05,1.2068342e-05,8.49427e-05,5.2475018e-05,1.9663185e-05,7.723093e-06,3.4621153e-05,5.5532278e-06
-6.43859649122807,8.900587094761786e-06,1.5656158e-05,8.094453e-07,1.34480415e-05,1.30462595e-05,9.123419e-05,5.658414e-05,2.1105743e-05,8.303226e-06,3.726763e-05,6.010367e-06
-6.4035087719298245,9.961894719978414e-06,1.6877519e-05,8.78906e-07,1.4527482e-05,1.4103726e-05,9.7992306e-05,6.1015486e-05,2.2655653e-05,8.927211e-06,4.0116975e-05,6.5056297e-06
-6.368421052631579,1.1142891473440853e-05,1.8195333e-05,9.544867e-07,1.5693908e-05,1.524712e-05,0.00010525179,6.579438e-05,2.4320912e-05,9.598276e-06,4.318489e-05,7.04222e-06
-6.333333333333333,1.2456226977419475e-05,1.9617284e-05,1.0364356e-06,1.6953705e-05,1.648353e-05,0.00011304969,7.094815e-05,2.6110261e-05,1.0320095e-05,4.648801e-05,7.6235337e-06
-6.298245614035087,1.3915787414015135e-05,2.1151769e-05,1.1254544e-06,1.8315877e-05,1.7820554e-05,0.00012142642,7.650637e-05,2.8033131e-05,1.1096456e-05,5.004468e-05,8.253445e-06
-6.2631578947368425,1.553680508596326e-05,2.2807722e-05,1.222151e-06,1.978796e-05,1.9266372e-05,0.0001304248,8.2500555e-05,3.0099542e-05,1.1931563e-05,5.3874155e-05,8.935942e-06
-6.228070175438597,1.7335976469839495e-05,2.4594912e-05,1.3271924e-06,2.137818e-05,2.082987e-05,0.00014009145,8.8965135e-05,3.232028e-05,1.2829867e-05,5.799758e-05,9.67557e-06
-6.192982456140351,1.933158929566027e-05,2.6523878e-05,1.4414336e-06,2.3097578e-05,2.2520697e-05,0.00015047575,9.5937074e-05,3.4707053e-05,1.37961015e-05,6.243762e-05,1.0477141e-05
-6.157894736842105,2.154365920814304e-05,2.8606068e-05,1.5653967e-06,2.4955169e-05,2.4349247e-05,0.0001616318,0.00010345648,3.727266e-05,1.48356075e-05,6.7218745e-05,1.1345848e-05
-6.12280701754386,2.399407658575044e-05,3.085369e-05,1.7000723e-06,2.69636e-05,2.632679e-05,0.00017361648,0.000111566056,4.003028e-05,1.5953785e-05,7.2366995e-05,1.2287394e-05
-6.087719298245614,2.6706764113918916e-05,3.328012e-05,1.8463813e-06,2.9133691e-05,2.8465478e-05,0.00018649215,0.00012031246,4.2994623e-05,1.715675e-05,7.7910736e-05,1.3307932e-05
-6.052631578947368,2.9707845728386095e-05,3.5899797e-05,2.0054845e-06,3.1480136e-05,3.077857e-05,0.0002003253,0.00012974592,4.6181558e-05,1.8450923e-05,8.388077e-05,1.4414176e-05
-6.017543859649123,3.302582756307168e-05,3.87282e-05,2.178198e-06,3.4015655e-05,3.328026e-05,0.0002151873,0.0001399201,4.9607712e-05,1.984321e-05,9.03096e-05,1.5613394e-05
-5.982456140350877,3.6691791554321395e-05,4.1782245e-05,2.3659973e-06,3.6757203e-05,3.59861e-05,0.0002311551,0.0001508937,5.3291435e-05,2.1341231e-05,9.723293e-05,1.6913458e-05
-5.947368421052632,4.073960236925171e-05,4.5080138e-05,2.5699042e-06,3.972003e-05,3.891283e-05,0.00024831196,0.00016272948,5.725225e-05,2.29529e-05,0.00010468858,1.8322917e-05
-5.912280701754386,4.52061283401925e-05,4.8641705e-05,2.791479e-06,4.2923042e-05,4.2078515e-05,0.0002667465,0.000175496,6.1511375e-05,2.4687022e-05,0.000112718044,1.9851155e-05
-5.87719298245614,5.013147709951876e-05,5.2488118e-05,3.032382e-06,4.6385627e-05,4.550276e-05,0.00028655474,0.00018926548,6.6091605e-05,2.6552969e-05,0.00012136535,2.1508142e-05
-5.842105263157895,5.555924661924142e-05,5.664258e-05,3.2940377e-06,5.012978e-05,4.9206858e-05,0.00030783928,0.00020411778,7.1017086e-05,2.8560751e-05,0.00013067847,2.3304896e-05
-5.807017543859649,6.153679236724086e-05,6.113012e-05,3.5785338e-06,5.4177057e-05,5.3213735e-05,0.0003307122,0.00022013867,7.6314594e-05,3.072125e-05,0.00014070896,2.5253361e-05
-5.771929824561404,6.811551129669347e-05,6.597763e-05,3.8875723e-06,5.8552818e-05,5.75484e-05,0.0003552919,0.00023741908,8.2012404e-05,3.3046235e-05,0.00015151195,2.7366397e-05
-5.7368421052631575,7.535114338668488e-05,7.12145e-05,4.2235856e-06,6.328412e-05,6.223765e-05,0.0003817077,0.00025605955,8.8140994e-05,3.554813e-05,0.00016314758,2.9657993e-05
-5.701754385964913,8.330409144989059e-05,7.68724e-05,4.5886663e-06,6.839985e-05,6.7310946e-05,0.0004100976,0.00027616727,9.473364e-05,3.8240756e-05,0.0001756801,3.2143478e-05
