p_edge,n_normal,n_edge,baseline_sse,improved_sse,delta_sse,baseline_var,improved_var,delta_var
0.04,100,100,0.03003723371850001,0.015407005790022108,-0.014630227928477901,0.056751823873365706,0.007525514576190641,-0.049226309297175065
0.3,10000,10000,0.0019427004434415607,0.0051908157663067556,0.003248115322865195,0.00011951217611758256,8.615617741188836e-05,-3.33559987056942e-05
0.1,1000,1000,0.0056789669149485324,0.0044608996243097835,-0.001218067290638749,0.0010508360262790758,0.0006469570831574137,-0.00040387894312166213
0.04,10000,10000,0.0018712868003148352,0.0016590206021425357,-0.00021226619817229955,0.00010906043500161401,7.687460488683437e-05,-3.218583011477964e-05
0.3,1000,1000,0.005689399839956062,0.00672490350046268,0.0010355036605066183,0.0010290519165166258,0.0007665956202349026,-0.0002624562962817232
0.2,1000,1000,0.005498154135204164,0.005272133607647953,-0.0002260205275562109,0.001218410614162911,0.0006781649305222389,-0.000540245683640672
0.02,1000,1000,0.006246248016588559,0.004393196559584633,-0.0018530514570039257,0.001319149830637839,0.0005526666050311381,-0.000766483225606701
0.1,100,100,0.036487967061226506,0.01632487638946377,-0.020163090671762737,0.08769047371287357,0.007590570064031824,-0.08009990364884174
0.2,100,100,0.03230831646453167,0.013899361985837001,-0.018408954478694665,0.05312587988725163,0.0070148645040729925,-0.04611101538317863
0.04,1000,1000,0.0050801238250015755,0.004259448011974981,-0.0008206758130265947,0.0009929023288089748,0.0007149048796623734,-0.0002779974491466014
0.02,100,100,0.03532169229682935,0.014211045990874189,-0.02111064630595516,0.07073109770720921,0.009674330566435463,-0.06105676714077375
0.1,10000,10000,0.002067375235696032,0.0018010597925360655,-0.00026631544315996645,0.00010344069172332644,7.263691690114325e-05,-3.080377482218319e-05
0.01,100,100,0.02339976966550552,0.01136882986870737,-0.01203093979679815,0.03694789763022192,0.006631062663166536,-0.03031683496705538
0.2,10000,10000,0.001923456599916363,0.0030471414670475393,0.0011236848671311763,0.00010930788006685239,8.91586770365014e-05,-2.0149203030350995e-05
0.01,10000,10000,0.002108976252487285,0.0014233538978223614,-0.0006856223546649234,0.00011482323431490185,6.207613506988339e-05,-5.274709924501847e-05
0.3,100,100,0.04245208648029791,0.01630712638920633,-0.026144960091091584,0.1060267013883983,0.00931034929179503,-0.09671635209660327
0.02,10000,10000,0.0018325815388949135,0.0015194317500935956,-0.00031314978880131786,0.00011496928967251987,7.003798004538996e-05,-4.493130962712992e-05
0.01,1000,1000,0.005370230972895193,0.004543777422192501,-0.0008264535507026922,0.0011213684204926194,0.0005549162116093264,-0.000566452208883293
