p_edge,n_normal,n_edge,baseline_sse,improved_sse,delta_sse,baseline_var,improved_var,delta_var
0.04,100,100,0.005173150477530081,0.00493489125259326,-0.00023825922493682112,0.0002442354257586863,0.0002527852071514676,8.549781392781265e-06
0.3,10000,10000,0.0008740200376470985,0.000728836943372791,-0.00014518309427430755,7.5293020919658515e-06,6.505316698981006e-06,-1.0239853929848454e-06
0.1,1000,1000,0.002322047281994361,0.002114224274840702,-0.00020782300715365895,4.152608168555465e-05,4.135777724805594e-05,-1.6830443749871145e-07
0.04,10000,10000,0.0008122661778161033,0.0007792189670832858,-3.3047210732817505e-05,7.137153639824657e-06,7.294152190345188e-06,1.5699855052053094e-07
0.3,1000,1000,0.002363581887165474,0.0018764051290062653,-0.00048717675815920856,5.027803733399789e-05,4.400009900876271e-05,-6.27793832523518e-06
0.2,1000,1000,0.002288695459565246,0.002003938643743062,-0.00028475681582218384,4.282666806998292e-05,4.203739232787201e-05,-7.892757421109093e-07
0.02,1000,1000,0.0019517761009852543,0.0018727924691786402,-7.89836318066141e-05,4.149289952226942e-05,4.214742095250688e-05,6.54521430237466e-07
0.1,100,100,0.004358789010292954,0.0040951956681946405,-0.00026359334209831355,0.00023865983985643817,0.00024731785576617016,8.658015909731985e-06
0.2,100,100,0.005062248005204124,0.004417556991318483,-0.0006446910138856411,0.0002153262643281683,0.00019504686013928262,-2.0279404188885676e-05
0.04,1000,1000,0.0023925418717293022,0.00226084863907632,-0.00013169323265298238,4.1940699109662415e-05,4.25612103810765e-05,6.205112714140849e-07
0.02,100,100,0.0048373916775580564,0.004679130437267326,-0.0001582612402907307,0.00024045803439705932,0.00024196868681113464,1.5106524140753234e-06
0.1,10000,10000,0.0008590491416873447,0.0007453584905853903,-0.00011369065110195431,7.706211652377852e-06,7.553288162531832e-06,-1.529234898460197e-07
0.01,100,100,0.003818875087792087,0.003735550564589942,-8.332452320214531e-05,0.00022576843481244383,0.0002280595103847604,2.291075572316575e-06
0.2,10000,10000,0.0009167013128903915,0.000785581053677719,-0.00013112025921267246,7.2045438797598045e-06,6.316081774764082e-06,-8.884621049957226e-07
0.01,10000,10000,0.0008419465495565191,0.0008275868472933953,-1.4359702263123768e-05,7.144008508887781e-06,7.165926238735362e-06,2.1917729847580972e-08
0.3,100,100,0.00478519793312839,0.0038158226588600607,-0.0009693752742683296,0.0002450167644267327,0.0002137447829064819,-3.1271981520250824e-05
0.02,10000,10000,0.0008601256275547193,0.0008216918090039834,-3.843381855073592e-05,7.673126836091996e-06,7.740340598772577e-06,6.721376268058051e-08
0.01,1000,1000,0.0022486467127566345,0.002184983215918999,-6.366349683763553e-05,3.884469736934342e-05,3.906568404982167e-05,2.209866804782484e-07
