x,true,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
-7.0,1.3498566943461955e-06,9.946475374830874e-12,2.1004678255060988e-14,0.0009935793214149319,6.142197300276982e-12,1.1290831685219661e-11,1.2097706607964358e-11,1.343726609281153e-13,2.3727727677193895e-14,5.6944885946297666e-11,3.4789483786727953e-17
-6.964912280701754,1.5257676569502872e-06,1.4839298453394353e-11,3.6030553288323234e-14,0.0011137925484418813,9.658676072526982e-12,1.696827852954571e-11,1.795379886303431e-11,2.29395360425333e-13,3.8834624329670195e-14,8.457208621637177e-11,6.208687932329899e-17
-6.9298245614035086,1.7235417342770669e-06,2.2053445397580784e-11,6.146490977079601e-14,0.0012441802950936439,1.5113338343793434e-11,2.539730335252091e-11,2.6543333896336002e-11,3.893433853535355e-13,6.326614504177547e-14,1.250862162479672e-10,1.1023899198601302e-16
-6.894736842105263,1.945753691385754e-06,3.26482062771808e-11,1.0427616154566583e-13,0.0013849757539301753,2.3531638963569956e-11,3.785964345054286e-11,3.909320400657585e-11,6.56985111376269e-13,1.0259188438055136e-13,1.8424780691420267e-10,1.947396871506007e-16
-6.859649122807017,2.1952631215202086e-06,4.814629865860231e-11,1.7593180183005897e-13,0.0015363273963491825,3.645800651097822e-11,5.620897847988543e-11,5.7358085348974604e-11,1.102180990657281e-12,1.655938031902148e-13,2.7027509426693366e-10,3.4226132416122513e-16
-6.824561403508772,2.4752436779565484e-06,7.072746977677254e-11,2.951924550382139e-13,0.0016982882378816096,5.620599399116256e-11,8.311441336237884e-11,8.383715735162216e-11,1.838336802294679e-12,2.660508613001785e-13,3.94839806589874e-10,5.984744496672714e-16
-6.7894736842105265,2.78921503652875e-06,1.0349894866221831e-10,4.92569833110291e-13,0.0018708058489666356,8.622264138502766e-11,1.2240234652628706e-10,1.2207533566558448e-10,3.0484013603917087e-12,4.254757902886413e-13,5.744436260900669e-10,1.0411616249946315e-15
-6.754385964912281,3.1410778134974732e-06,1.5087154906335022e-10,8.1739522547967e-13,0.0020537134292302954,1.316160925365284e-10,1.7953421038130567e-10,1.7708011384647843e-10,5.025673213925355e-12,6.77290090531317e-13,8.323114409170852e-10,1.8020871050713744e-15
-6.719298245614035,3.5351516786263096e-06,2.1908032761458454e-10,1.3489572668865184e-12,0.0022467222689308056,1.999151222652399e-10,2.6227092096373503e-10,2.558958086321663e-10,8.23742595383414e-12,1.0731597294132433e-12,1.2009824677060253e-09,3.1032648891264318e-15
-6.684210526315789,3.976216919211653e-06,3.169020833240601e-10,2.213941723437189e-12,0.002449415917356507,3.0215604609502534e-10,3.8159261223949433e-10,3.683911037025597e-10,1.3423449611994406e-11,1.6925592991254074e-12,1.7258387558223698e-09,5.3167682522754e-15
