version, all, normal, event
246672 best,-16.279775619506836,-16.002126693725586,-19.470327377319336
246679 best,-21.30367660522461,-21.09848022460937,-23.661773681640625
246673 best,-18.76537704467773,-18.442806243896484,-22.472267150878903
246674 best,-21.94282913208008,-21.8317985534668,-23.21860885620117
246672 last,-16.551681518554688,-16.26844024658203,-19.80652618408203
246673 last,-19.86346244812012,-19.486665725708008,-24.19363021850586
246674 last,-21.94276428222656,-21.83177375793457,-23.218345642089844
246679 last,-21.323362350463867,-21.06120109558105,-24.335844039916992
246676 best,-18.43030166625977,-18.156280517578125,-21.57919883728028
246676 last,-18.84346580505371,-18.604745864868164,-21.58669853210449
248029 best,-18.223621368408203,-18.115636825561523,-19.46416473388672
248898 best,12.512320518493652,12.55906581878662,11.98182201385498
248899 best,12.38381004333496,12.217637062072754,14.269811630249023
248900 best,12.506112098693848,12.522336959838867,12.322004318237305
