x,true,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54
-7.0,1.3498566943461955e-06,8.214316328999435e-05,9.956032179748524e-32,4.747656333014187e-21,3.8559842134971364e-11,1.084785931648372e-22,1.5896775710092383e-22,1.3269978495503324e-23,4.757545926984975e-13,2.477882413281922e-32,5.978570685691236e-70,2.2933139744907898e-15,7.133139371959582e-121,7.87457885068619e-45,2.275766354195628e-22,1.3896009383878756e-27,2.6466002195564916e-06,4.48327452302058e-06,3.729733773779403e-28,1.816005527162665e-33,1.451285770671237e-31,1.0218210902725293e-48,1.9229525268436175e-32,3.7246431839894565e-17,5.9097780720870435e-06,2.009281534852168e-11,1.0048669023711888e-13,1.2269289287300993e-05,6.492175102673069e-24,9.406538130471344e-14,1.886957402275487e-15,1.8425741898702395e-12,1.2137024074345369e-06,3.1379681658994466e-38,6.284979772274212e-06,1.4910495883591632e-08,5.773441625913895e-22,2.8150567019434357e-56,3.578072373702124e-10,9.83313283134123e-11,2.1406809209989935e-15,1.311990876964541e-16,1.7983289974020378e-30,4.7189734061977636e-111,7.276420028849945e-30,0.0001450848025256235,7.314024805023118e-35,3.2827763959580784e-08,1.1160915020787235e-06,6.911420802525236e-11,2.0603795729286138e-19,4.897056870258171e-18,4.1083506321769465e-09,6.06221255580393e-35,0.0014076863457840663,1.1499664208039948e-31
-6.964912280701754,1.5257676569502872e-06,9.877540082137784e-05,4.552871543513063e-31,1.2136670093311191e-20,7.51152194155487e-11,2.883728873791713e-22,4.449593213844401e-22,4.3028604650214666e-23,8.845606807258973e-13,1.0593825177666076e-31,1.7624282251613496e-68,5.0660523381903585e-15,2.1730038157257186e-118,6.501286801504838e-44,6.458263932710638e-22,5.245761399059445e-27,3.4781171223541354e-06,5.937871907285969e-06,1.3635406141188142e-27,7.975130007550514e-33,6.710836026966945e-31,1.2223030900994188e-47,8.07107070772767e-32,8.190755666621611e-17,7.52531337419616e-06,3.294561613980832e-11,1.893238058831748e-13,1.5744508712637726e-05,1.805356995747662e-23,1.8335580577069828e-13,4.0480378995283525e-15,3.467795681604393e-12,1.6469369476163208e-06,1.803376851726337e-37,7.993146547988188e-06,2.3731716607660407e-08,1.6512339769028029e-21,5.4044422788427356e-55,5.700765185325577e-10,1.713424047950178e-10,4.313316506500279e-15,2.9982128923956286e-16,8.043899573050548e-30,1.739551730359202e-108,2.3918491409193625e-29,0.00016666349604630633,4.118960964110543e-34,5.234567884475068e-08,1.499099033963424e-06,1.1768692092571102e-10,5.496829434348315e-19,1.1436425750329651e-17,6.6711919868850355e-09,3.2652920581520847e-34,0.0014237631056990196,6.854500275541473e-31
-6.9298245614035086,1.7235417342770669e-06,0.00011809393162027881,2.04530151056407e-30,3.0696005174295176e-20,1.4449650651124038e-10,7.58464384730791e-22,1.2305213257867952e-21,1.3744929587187645e-22,1.630273875634512e-12,4.4580558952777905e-31,5.0037807582728295e-67,1.1063232185211655e-14,6.228701114556871e-116,5.243201474978079e-43,1.8098928022192494e-21,1.9489780655634563e-26,4.544106782316512e-06,7.811855759038925e-06,4.911612591993591e-27,3.44748012510498e-32,3.047196548620845e-30,1.4193458121260448e-46,3.3360927758014684e-31,1.7834498473915032e-16,9.531866236394673e-06,5.365632223568107e-11,3.536608491575152e-13,2.00755246340964e-05,4.9654898893865613e-23,3.540534675906179e-13,8.594746136999681e-15,6.46349120006131e-12,2.2203360076947716e-06,1.0167066736125586e-36,1.0111831631717026e-05,3.742356540674065e-08,4.6618529379689755e-21,1.0007918968278453e-53,9.018413919976514e-10,2.9581043031478465e-10,8.613211226341374e-15,6.774411911263161e-16,3.533443447186081e-29,5.973128977428094e-106,7.771636266986731e-29,0.00019063746363099453,2.2720133573469755e-33,8.264834705538974e-08,2.001438862439666e-06,1.987284888110057e-10,1.4473114660957176e-18,2.642202652217019e-17,1.0734808940267354e-08,1.7248243110967094e-33,0.001434274819764287,3.986320455412645e-30
-6.894736842105263,1.945753691385754e-06,0.00014038093978659588,9.026153304283688e-30,7.681155174510214e-20,2.744880855743251e-10,1.9737251694640947e-21,3.3621436981829137e-21,4.32539878074678e-22,2.978391771166539e-12,1.8465429126331667e-30,1.3682260927162315e-65,2.3883659616915685e-14,1.6799321129831526e-113,4.1306621996337595e-42,5.0088596720513726e-21,7.126654617627442e-26,5.902028806725799e-06,1.0208584047017215e-05,1.7431970108980955e-26,1.466930547693328e-31,1.3587027624318563e-29,1.5999367731754345e-45,1.3579678087195782e-30,3.844992214677156e-16,1.200967456109418e-05,8.679817535480053e-11,6.550190361151471e-13,2.5435061879252014e-05,1.3507899678930001e-22,6.772565948397568e-13,1.8060410521594486e-14,1.1930701081346336e-11,2.9739756117495293e-06,5.6231043127961916e-36,1.2724480286311782e-05,5.8470952278884485e-08,1.2992294311195154e-20,1.7875814522447007e-52,1.4165769192341792e-09,5.059851770354929e-10,1.7045638635622936e-14,1.5134156236830615e-15,1.5242762804001777e-28,1.9104760675115502e-103,2.496054884514253e-28,0.00021713269695638313,1.2275128416450769e-32,1.2921243561003315e-07,2.656047393552144e-06,3.327845391152422e-10,3.760940487629598e-18,6.0389658951903e-17,1.7117497213666642e-08,8.935116865741429e-33,0.00143909865765862,2.2619051474318904e-29
-6.859649122807017,2.1952631215202086e-06,0.00016591702565999075,3.913110584758705e-29,1.901664588094915e-19,5.149041941035653e-10,5.0817024934708955e-21,9.076166213170042e-21,1.3409369143030117e-21,5.393757469235939e-12,7.528268335030558e-30,3.603215410813652e-64,5.0971396524537235e-14,4.263273805550287e-111,3.178845604422773e-41,1.368906632270773e-20,2.56475094716635e-25,7.620835645512772e-06,1.3251489818814097e-05,6.095871239734171e-26,6.144145731744144e-31,5.949063427580987e-29,1.7507443657562585e-44,5.4435877427594666e-30,8.207816960033032e-16,1.5051663918175523e-05,1.3946547698396924e-10,1.2028352585390536e-12,3.2020405464376485e-05,3.6344681604329254e-22,1.2833607786459647e-12,3.7560238540501575e-14,2.1809710977008167e-11,3.9576107446207464e-06,3.0508998381438126e-35,1.5927530804838704e-05,9.051368363293579e-08,3.57430611848415e-20,3.079761330002402e-51,2.209343030226886e-09,8.575072608794997e-10,3.34315026260614e-14,3.342891698172006e-15,6.457483622939965e-28,5.6918958669110546e-101,7.924267132958311e-28,0.00024625861365885714,6.495807869593315e-32,2.000297288085901e-07,3.5035700728053315e-06,5.526335577668185e-10,9.645297723490403e-18,1.3654621755200788e-16,2.7048390257240862e-08,4.539298454805322e-32,0.001438180177078894,1.2522249148597907e-28
-6.824561403508772,2.4752436779565484e-06,0.00019497393908885432,1.6665419522652213e-28,4.658052112535464e-19,9.53819474496017e-10,1.2945034871109907e-20,2.4207416358709447e-20,4.0953337275070975e-21,9.682541506943145e-12,3.0210170911160213e-29,9.138929909201132e-63,1.075373579753127e-13,1.0180098751307427e-108,2.389717389408301e-40,3.694517642822643e-20,9.084181976378207e-25,9.78255604721173e-06,1.7086449059523946e-05,2.100354905287651e-25,2.5331332473200066e-30,2.5578371487465843e-28,1.859721893767735e-43,2.1489454366168394e-29,1.7348322849129366e-15,1.8764534195294233e-05,2.2258160209489918e-10,2.189998410627811e-12,4.0054288806176185e-05,9.67212403737652e-22,2.4091087340896047e-12,7.73099358259101e-14,3.9483805028615824e-11,5.2324576887487984e-06,1.6238696743816523e-34,1.983147609745016e-05,1.3882492950932576e-07,9.706834313588016e-20,5.117966584952407e-50,3.4213629035731117e-09,1.4398376863696913e-09,6.498198782148906e-14,7.300689544494524e-15,2.6865631184696772e-27,1.5796047472395112e-98,2.4867248465337286e-27,0.0002781037739137772,3.366915869029325e-31,3.0662564209698057e-07,4.593749424116849e-06,9.100861168897453e-10,2.44129090389142e-17,3.0543402667267476e-16,4.235434426906566e-08,2.261574856410053e-31,0.0014315345851642998,6.763882628633086e-28
-6.7894736842105265,2.78921503652875e-06,0.00022780626423402222,6.9724562871835155e-28,1.1288549962481639e-18,1.7447886241285064e-09,3.2626390007313637e-20,6.379036596746359e-20,1.2321660197039166e-20,1.722962045357178e-11,1.1932578762470124e-28,2.2324062465366528e-61,2.242847560797343e-13,2.287273231094732e-106,1.7548975563548927e-39,9.846698038643303e-20,3.1667081197752187e-24,1.2483908542310221e-05,2.18840068191791e-05,7.130465170356258e-25,1.028015198321097e-29,1.079934292798585e-27,1.917691116465605e-42,8.354298145870495e-29,3.630654847508704e-15,2.3269716926224526e-05,3.528403452727931e-10,3.9533659312236005e-12,4.978510626924415e-05,2.5458420272333315e-21,4.4799918327280145e-12,1.5748842072512435e-13,7.079021479170058e-11,6.873142554810467e-06,8.479024291172563e-34,2.456177940859511e-05,2.109599099122513e-07,2.602225404382061e-19,8.203647549880824e-49,5.260755826435742e-09,2.3953280887579625e-09,1.251770185828871e-13,1.5764599265363057e-14,1.0976526734238621e-26,4.083349891596732e-96,7.713657520156777e-27,0.00031273148616853155,1.7093198230570166e-30,4.654253387567803e-07,5.986945639092849e-06,1.4862739881198982e-09,6.098291060690966e-17,6.758896699263435e-16,6.572189527853067e-08,1.1050133725665316e-30,0.0014192466452726666,3.5646390139086856e-27
-6.754385964912281,3.1410778134974732e-06,0.00026464218185578,2.8657052584411607e-27,2.706672602428533e-18,3.1517836888796183e-09,8.135926647144623e-20,1.660822672468024e-19,3.65214807413715e-20,3.039138393407162e-11,4.639157491495242e-28,5.2519897989055e-60,4.624322918585386e-13,4.835500332919615e-104,1.2588845446507175e-38,2.5916267692489726e-19,1.0864564086125496e-23,1.5837889312448868e-05,2.784131800390354e-05,2.38513000119407e-24,4.106637945497675e-29,4.477359065076266e-27,1.919617658442817e-41,3.19844572718755e-28,7.523329257445991e-15,2.8704136803999944e-05,5.55563415977219e-10,7.075806692814215e-12,6.148626696640699e-05,6.627814448895373e-21,8.253009754176018e-12,3.1751803279804794e-13,1.2569343782547943e-10,8.969783466091496e-06,4.343223273085845e-33,3.0259575137470194e-05,3.1762287109877097e-07,6.886446288188347e-19,1.26836925129013e-47,8.031749808558826e-09,3.948137266838871e-09,2.38974067374412e-13,3.3657315261372434e-14,4.404200030007029e-26,9.832456196994279e-94,2.36514251459337e-26,0.000350175406610339,8.499754263637208e-30,6.995576507119427e-07,7.755768940930436e-06,2.407057411522515e-09,1.5034240257825262e-16,1.47963586597397e-15,1.0105970005291758e-07,5.294915796366673e-30,0.0014014692381981249,1.832908646832641e-26
-6.719298245614035,3.5351516786263096e-06,0.00030567349890672844,1.1570555515248717e-26,6.420922257955383e-18,5.622209384627522e-09,2.0073247346919636e-19,4.2722224415587815e-19,1.0664168855732872e-19,5.313904004295515e-11,1.7752857209324304e-27,1.1900008757311534e-58,9.42551383622489e-13,9.6188272904536e-102,8.821648754452869e-38,6.736018348573114e-19,3.66858975359427e-23,1.9975264068500073e-05,3.518363238542729e-05,7.860968429083683e-24,1.6148012892323386e-28,1.8228320965413132e-26,1.8653326428475066e-40,1.2059032071524517e-27,1.5435930392539795e-14,3.522070243393083e-05,8.688713312098343e-10,1.2556564022530545e-11,7.545450310997542e-05,1.706629508483832e-20,1.5061319665522543e-11,6.335701887809357e-13,2.2102282371755825e-10,1.1630156316316298e-05,2.1824790860718638e-32,3.7082077526648785e-05,4.73808787460928e-07,1.7989951715211175e-18,1.8915315118132985e-46,1.217545605371533e-08,6.447558275622228e-09,4.521385730213206e-13,7.1048266568163e-14,1.7354151797771275e-25,2.2053896270554968e-91,7.168346303849668e-26,0.0003904352509597911,4.1398193771769874e-29,1.0411987524318005e-06,9.986791051431786e-06,3.865852176917015e-09,3.657965018655464e-16,3.2044577022865497e-15,1.53993365249041e-07,2.4882050681864456e-29,0.0013784206250664138,9.19542602393245e-26
-6.684210526315789,3.976216919211653e-06,0.0003510452011224168,4.5893873976626685e-26,1.5070358679074583e-17,9.903638026692479e-09,4.900058706215128e-19,1.0857949454400848e-18,3.067647313539854e-19,9.210123148681154e-11,6.686862799938887e-27,2.5968295855643455e-57,1.8992010317445965e-12,1.800363517253586e-99,6.038710371417083e-37,1.7289524070899835e-18,1.2191836051457236e-22,2.5045878391496e-05,4.416512912731441e-05,2.5527641891178495e-23,6.250258315520455e-28,7.287382418186138e-26,1.7595571264194137e-39,4.4774462370166364e-27,3.135834924344008e-14,4.2988444391242896e-05,1.3497201232669381e-09,2.2092852205185175e-11,9.200695233025948e-05,4.346492533669155e-20,2.72289269569531e-11,1.2512030039638754e-12,3.8489900230614116e-10,1.4981873834476625e-05,1.0758699644193589e-31,4.520261341080831e-05,7.002838863910062e-07,4.639285862202595e-18,2.7208877281236127e-45,1.832623961028859e-08,1.04321576496276e-08,8.477875081596712e-13,1.482876500617032e-13,6.7154337894898015e-25,4.607731700177271e-89,2.1475619846774144e-25,0.00043347274874417984,1.9749149851331732e-28,1.5345659310840452e-06,1.27822893067754e-05,6.1570872284192266e-09,8.783797924964499e-16,6.8655430118855955e-15,2.325318298326532e-07,1.1466992057283722e-28,0.0013503804956043462,4.500996348777392e-25
