x,true,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54
-7.0,1.3498566943461955e-06,0.0001441104279138775,1.325711982318418e-16,7.13838889584107e-16,3.208365871000376e-07,3.503703346634026e-12,2.948239598797972e-11,1.4159594012901956e-10,6.87970610047694e-12,1.020246888159908e-19,2.171036085322845e-65,1.3037632029253483e-08,3.266724287643215e-13,1.0534303488129939e-37,4.635740206109654e-13,4.397935618031642e-31,2.5664352086142566e-05,1.7451757049866415e-05,3.937927965206634e-11,2.96720900753644e-17,5.678889994529225e-10,3.250121111606319e-11,5.0352409704447e-19,8.080312655242078e-13,2.012133875590848e-05,4.087680906844823e-09,1.1694730402929237e-08,6.124191166532791e-05,2.7978275688367025e-13,1.8467376999814365e-09,2.8964027335458387e-11,5.93656557302658e-09,3.715905649473676e-06,2.057231693652067e-20,2.41834190596242e-05,2.433969173161425e-06,2.200556331073126e-13,2.6264790303694875e-40,3.6306490614724723e-08,1.6976178804213735e-07,1.7954576771102926e-09,3.440618411908313e-09,2.3395846113139532e-27,3.6546746321377603e-99,1.79693742725617e-23,0.00021645275859044267,2.7052276157632653e-17,6.700877157013238e-06,2.55519520493109e-05,2.8524929012008016e-07,6.160804860282433e-08,7.902504174472802e-12,6.382363070461376e-07,5.267764169585638e-15,0.0012356821540844497,1.063654392713512e-12
-6.964912280701754,1.5257676569502872e-06,0.00016621808611088913,2.6937051131458067e-16,1.390544557574626e-15,4.416181712622307e-07,5.489255145079854e-12,4.492967020577644e-11,2.1393210252694444e-10,1.185063724663647e-11,2.3196694917116715e-19,5.077253460443496e-64,1.8281357686836436e-08,5.314727729665964e-13,6.0551639298185955e-37,7.83865795987704e-13,2.012991379224095e-30,3.0337514203069322e-05,2.1550931495295515e-05,5.911884481763003e-11,5.882794651300604e-17,8.047989415627977e-10,4.995127355107064e-11,1.0927904556633242e-18,1.3801158105154093e-12,2.4166770636712134e-05,5.780136798643394e-09,1.6016541570554537e-08,7.171279830049149e-05,4.602460845726027e-13,2.717942354985716e-09,4.77493537920104e-11,8.68526871053973e-09,4.794368717861476e-06,4.820988381618587e-20,2.882341739758543e-05,3.1385703962326512e-06,3.875237102661719e-13,2.067461231099818e-39,5.0065967953725064e-08,2.2932567142614436e-07,2.538806061141639e-09,4.896170668917858e-09,8.804386111424877e-27,7.025488859654349e-97,4.434979860200722e-23,0.0002409263766723367,5.78184395076051e-17,8.485690235160246e-06,2.9901153196356073e-05,3.716362774308516e-07,8.041619313186182e-08,1.2803430803235624e-11,8.530083155428394e-07,9.830180080578372e-15,0.0012465710547202966,1.902954683811508e-12
-6.9298245614035086,1.7235417342770669e-06,0.00019086939351781136,5.428655221477709e-16,2.6883249352967002e-15,6.042485049196256e-07,8.55838057231707e-12,6.81387948232098e-11,3.2156162074816253e-10,2.0256833877059895e-11,5.227249792890986e-19,1.1465172902670368e-62,2.5511174579940856e-08,8.602921677340802e-13,3.413712471109806e-36,1.3171113973779055e-12,9.047068111182062e-30,3.57330074707881e-05,2.647931308178265e-05,8.835532070204498e-11,1.1578616247262806e-16,1.1359393535521513e-09,7.639099992300312e-11,2.3521302281328595e-18,2.3414259268815e-12,2.8909326586522752e-05,8.134745648903237e-09,2.184404386651076e-08,8.363665505326277e-05,7.531506722870175e-13,3.97873212629818e-09,7.818760774835372e-11,1.2632674933687473e-08,6.152356958488382e-06,1.119303203814582e-19,3.4221063422939856e-05,4.026822319051506e-06,6.777870645826701e-13,1.5869325124217988e-38,6.870250691109213e-08,3.08242136554765e-07,3.5740905824467735e-09,6.9338867888933695e-09,3.260626794913626e-26,1.2678843984573326e-94,1.08500883376137e-22,0.0002672861603280523,1.2245512338379037e-16,1.0694594705322561e-05,3.487907571075398e-05,4.821963866992155e-07,1.0460085179805208e-07,2.0617091613485393e-11,1.1339102223735384e-06,1.8212985496911112e-14,0.0012537644749334813,3.377351631089282e-12
-6.894736842105263,1.945753691385754e-06,0.000218208130250339,1.0851177383855486e-15,5.158114885218704e-15,8.218487267629438e-07,1.327890507201255e-11,1.0283644330460113e-10,4.808579317626675e-10,3.43605036843918e-11,1.1674733617579671e-18,2.499898263996919e-61,3.5429587141085915e-08,1.3855036875077023e-12,1.887598419653689e-35,2.1991846615441413e-12,3.9925183815855334e-29,4.193719093721061e-05,3.2371379703085236e-05,1.314585723760309e-10,2.2623884332454135e-16,1.5968665123371662e-09,1.1624857247203134e-10,5.021041802267673e-18,3.945689104673953e-12,3.444412267564256e-05,1.1394481683469506e-08,2.9667754797146656e-08,9.715152585069364e-05,1.2260195743262751e-12,5.793219450385285e-09,1.2716587508643765e-10,1.826717895800485e-08,7.852265406524968e-06,2.5746534313854334e-19,4.047267488839843e-05,5.140531798280572e-06,1.1773859845783349e-12,1.1877832699882304e-37,9.38154469826291e-08,4.1224791376285286e-07,5.009380335804968e-09,9.772310651661214e-09,1.1883513561484662e-25,2.1481204325707918e-92,2.631225705320859e-22,0.00029555589273377414,2.570016947853535e-16,1.3414243961873344e-05,4.0556089904048015e-05,6.230794281863432e-07,1.3558584459543502e-07,3.299651042046322e-11,1.4991977129174264e-06,3.350316976568835e-14,0.0012572063835116028,5.946267659911769e-12
-6.859649122807017,2.1952631215202086e-06,0.0002483612827297418,2.1513196349922736e-15,9.822293891343928e-15,1.1111638435620393e-06,2.0503398711047483e-11,1.5445133679770772e-10,7.153770021505159e-10,5.783698228404473e-11,2.584327607063809e-18,5.263250294298536e-60,4.8968494908714605e-08,2.2200693652470905e-12,1.0237044770125389e-34,3.648879574592409e-12,1.7300527669477814e-28,4.9042165742970315e-05,3.937581798597343e-05,1.9471320771148652e-10,4.3884923710945366e-16,2.235783847962504e-09,1.7602894557528146e-10,1.063003007609242e-17,6.604544553463313e-12,4.0874297101147065e-05,1.5885098456601426e-08,4.012595224025861e-08,0.00011239750359173534,1.9853537924251884e-12,8.390107513715759e-09,2.0543094095232976e-10,2.626103155220259e-08,9.967627004564201e-06,5.867455321561529e-19,4.768160097470775e-05,6.529349920275716e-06,2.0313111333424917e-12,8.669092378025549e-37,1.2748178109835127e-07,5.485959984130682e-07,6.990136924462046e-09,1.3706238339386473e-08,4.26216715639166e-25,3.416756847255475e-90,6.325085946820945e-22,0.00032574214702730766,5.344952709660373e-16,1.6745417152435387e-05,4.7006973146330775e-05,8.01821867229768e-07,1.7513895981093783e-07,5.2486590867790186e-11,1.971493223421921e-06,6.118942062094697e-14,0.0012568765055221553,1.0385643998491954e-11
-6.824561403508772,2.4752436779565484e-06,0.000281434404253596,4.230362716517387e-15,1.8562983304878724e-14,1.4934019670296447e-06,3.15052413675015e-11,2.3084952286733602e-10,1.0588151026780398e-09,9.660729913502146e-11,5.669898716766239e-18,1.069980034484096e-58,6.73571809437144e-08,3.5393452510955934e-12,5.44531051695972e-34,6.016116967266102e-12,7.361145418157176e-28,5.7145348446813405e-05,4.765537808291315e-05,2.8711315311292924e-10,8.450868004639727e-16,3.1177470080004807e-09,2.6523621337686303e-10,2.2319451715638235e-17,1.0980964448533239e-11,4.831074596107031e-05,2.2040933952372453e-08,5.4045164741569594e-08,0.00012951469261052694,3.198192664511031e-12,1.208617410023824e-08,3.29628040300783e-10,3.7533257204017926e-08,1.2584384017147439e-05,1.3247728835121618e-18,5.5957773161113284e-05,8.25181734851611e-06,3.4807071192481107e-12,6.169752742961574e-36,1.7238287788098202e-07,7.263988575972078e-07,9.71116747214592e-09,1.9131102226893336e-08,1.5043816166007302e-24,5.10207288322123e-88,1.507157222426171e-21,0.00035783239274868843,1.1015419689446684e-15,2.0804483892366876e-05,5.431061868975246e-05,1.0276114839286325e-06,2.2544595262057512e-07,8.29790857392538e-11,2.5786311863096808e-06,1.10956589546496e-13,0.001252790929746954,1.799466310140445e-11
-6.7894736842105265,2.78921503652875e-06,0.0003175068721189967,8.250798849840733e-15,3.4817360397886085e-14,1.9952185951932626e-06,4.8176316631109134e-11,3.4336787502081075e-10,1.5590988538664626e-09,1.6012993971508998e-10,1.2329074502978624e-17,2.1003287953707376e-57,9.220809405292843e-08,5.614062448753339e-12,2.8408904582977235e-33,9.85671518325302e-12,3.0754265011978237e-27,6.634887120624721e-05,5.738630783087418e-05,4.214662932274238e-10,1.615567918586984e-15,4.330160771747473e-09,3.9768123369654775e-10,4.647732503899819e-17,1.8134923492490203e-11,5.687164193301887e-05,3.043790997030803e-08,7.249049537689932e-08,0.0001486408648650638,5.125058419638904e-12,1.731751257356075e-08,5.253465730032329e-10,5.333164133738069e-08,1.5802126751261368e-05,2.963427917568876e-18,6.541703865711555e-05,1.0376446358723105e-05,5.9237051801625405e-12,4.281733324850823e-35,2.3195974811700477e-07,9.57032577395876e-07,1.3432047260160655e-08,2.657434855656442e-08,5.225496774549761e-24,7.152487053026379e-86,3.559875407133824e-21,0.00039179323910761287,2.2496140277853447e-15,2.5724832346902996e-05,6.254963316233495e-05,1.3115905119971448e-06,2.891981248999474e-07,1.3038542979036864e-10,3.3546120432471047e-06,1.9976381944258363e-13,0.0012450021985634153,3.09297123702715e-11
-6.754385964912281,3.1410778134974732e-06,0.0003566271691468214,1.5961043968889857e-14,6.481229878176163e-14,2.649856879894301e-06,7.331261095046136e-11,5.082582267141737e-10,2.2840048606130282e-09,2.633864962255923e-10,2.6571336462462918e-17,3.9809696005952712e-56,1.2562432956931365e-07,8.859921824234506e-12,1.453686903067701e-32,1.6047509758422044e-11,1.2616518358254526e-26,7.67587943197031e-05,6.875729458679595e-05,6.159218575250673e-10,3.0661062282596213e-15,5.989928284893687e-09,5.933244216332848e-10,9.598591668206067e-17,2.9748744134721704e-11,6.668170862078695e-05,4.183544799297096e-08,9.682779671437562e-08,0.00016990882700937567,8.1699955418708e-12,2.468079602259504e-08,8.316327690615994e-10,7.5338664827908e-08,1.9735245571388457e-05,6.5676395757182466e-18,7.618025491019768e-05,1.2982813959434342e-05,1.0012806416720103e-11,2.897538565165411e-34,3.1060177113718864e-07,1.25460818507126e-06,1.8496901094481206e-08,3.673554057726522e-08,1.786237850369747e-23,9.413390688246582e-84,8.334805525617097e-21,0.0004275688662163914,4.552660537137592e-15,3.1658209028741724e-05,7.180981478242984e-05,1.6672000147028082e-06,3.6969541841249285e-07,2.0362441495118496e-10,4.34066446222003e-06,3.570822271292373e-13,0.0012335988817249299,5.27388354298866e-11
-6.719298245614035,3.5351516786263096e-06,0.00039880833493728034,3.062490101985868e-14,1.1973822830975349e-13,3.498451446254899e-06,1.1102444282189667e-10,7.486933582572625e-10,3.328831295030745e-09,4.29905426999697e-10,5.675764667723461e-17,7.285852888825546e-55,1.703333446675849e-07,1.3911735440046263e-11,7.295794669453065e-32,2.596228592294023e-11,5.0821589928455353e-26,8.848411949533081e-05,8.196784691828937e-05,8.960708468484157e-10,5.776800901779546e-15,8.252701938344299e-09,8.808572468817077e-10,1.9659973452745334e-16,4.847292774626808e-11,7.787122592400604e-05,5.7229346949815995e-08,1.2880002643739876e-07,0.000193443527750194,1.2956120553288325e-11,3.498738710119114e-08,1.3076205202928336e-09,1.058072007806031e-07,2.451393158677587e-05,1.4420721855509143e-17,8.837212703508388e-05,1.6162633584368417e-05,1.680955337529986e-11,1.9120384529415463e-33,4.1387421276588636e-07,1.6365157524271637e-06,2.5359623091978483e-08,5.0537260750873454e-08,6.008876157356771e-23,1.1630930464886847e-81,1.9343760693746354e-20,0.00046507969619752945,9.130054487084723e-15,3.8775909794071644e-05,8.217950623037175e-05,2.110567770083251e-06,4.709671016923826e-07,3.160612569388024e-10,5.586410566425964e-06,6.337354952141217e-13,0.001218704646340533,8.920893776899932e-11
-6.684210526315789,3.976216919211653e-06,0.0004440237465416468,5.828240099796992e-14,2.195444029622766e-13,4.591498499189189e-06,1.6732231796606634e-10,1.0975368425723008e-09,4.826802790644577e-09,6.963232758845812e-10,1.2016105863589501e-16,1.2875434588572412e-53,2.2985211204676627e-07,2.173361380661589e-11,3.591372643133559e-31,4.173865099953798e-11,2.0101658370307545e-25,0.00010163559593975692,9.722605602065668e-05,1.2978186836763779e-09,1.0805030240065613e-14,1.1324792424656183e-08,1.3012968542192683e-09,3.993627910081345e-16,7.84526502684215e-11,9.057474573781856e-05,7.791802535720608e-08,1.7062044673377859e-07,0.00021935894810573117,2.043900289534302e-11,4.9333773917154054e-08,2.0421933206726706e-09,1.477328029624192e-07,3.0284951142779233e-05,3.1370989089001794e-17,0.0001021197745486524,2.002076564699015e-05,2.802825590418145e-11,1.2303306524116753e-32,5.48790189189035e-07,2.12404581132514e-06,3.4615834920764674e-08,6.918926756337057e-08,1.9892511573208018e-22,1.3491587283577596e-79,4.450117349729038e-20,0.0005042213555243359,1.8143994219144675e-14,4.726975308862014e-05,9.374881849753358e-05,2.6609412527477496e-06,5.979122612975355e-07,4.875886516619355e-10,7.151123246606032e-06,1.1167012185887028e-12,0.0012004768457822862,1.496959795204876e-10
