x,true,run_0
-8.0,1.7708679390146084e-07,0.0035605054598630104
-7.959899749373434,2.041512829883681e-07,0.00372512968290266
-7.919799498746867,2.3518394464039053e-07,0.003891361419775929
-7.879699248120301,2.7074026238413256e-07,0.004058793468838835
-7.839598997493734,3.114495007249845e-07,0.004227001359435395
-7.799498746867168,3.5802392627088053e-07,0.004395545357008507
-7.7593984962406015,4.1126910049578296e-07,0.004563972610747807
-7.719298245614035,4.720953578767507e-07,0.0047318194267977785
-7.679197994987469,5.415305938268848e-07,0.004898613649106666
-7.639097744360902,6.207344983698981e-07,0.00506387712936857
-7.598997493734336,7.110143839055094e-07,0.005227128267204286
-7.5588972431077694,8.138427687433938e-07,0.005387884601739312
-7.518796992481203,9.30876892381448e-07,0.005545665436062833
-7.478696741854637,1.0639803538154806e-06,0.00569999447667118
-7.43859649122807,1.2152470805342988e-06,0.005850402470890828
-7.398496240601504,1.3870278533170111e-06,0.005996429826407894
-7.358395989974937,1.5819596305460795e-06,0.006137629198366895
-7.318295739348371,1.8029979355147523e-06,0.006273568030999699
-7.2781954887218046,2.0534525911718587e-06,0.0064038310423602494
-7.238095238095238,2.337027108936188e-06,0.006528022642423807
-7.197994987468672,2.6578620616472394e-06,0.006645769276511346
-7.157894736842105,3.0205827954122407e-06,0.00675672168767136
-7.117794486215539,3.43035186106715e-06,0.006860557093244673
-7.0776942355889725,3.892926573188451e-06,0.006956981272307926
-7.037593984962406,4.414722133060191e-06,0.007045730561998178
-6.99749373433584,5.002880781692456e-06,0.0071265737618287335
-6.957393483709273,5.6653474798660545e-06,0.00719931394598682
-6.917293233082707,6.410952644193102e-06,0.007263790184235702
-6.87719298245614,7.249502501267201e-06,0.00731987917241381
-6.837092731829574,8.191877656046891e-06,0.0073674967736270455
-6.796992481203008,9.250140505569615e-06,0.007406599471071147
-6.756892230576441,1.043765216480787e-05,0.007437185733011252
-6.716791979949875,1.1769199607810338e-05,0.007459297289806047
-6.676691729323308,1.3261133764050484e-05,0.007473020322022063
-6.636591478696742,1.4931519346940666e-05,0.007478486557674764
-6.5964912280701755,1.680029722854003e-05,0.0074758742754973346
-6.556390977443609,1.888946021134215e-05,0.007465409209920957
-6.516290726817043,2.1223243084394027e-05,0.007447365352199824
-6.476190476190476,2.3828327886561723e-05,0.007422065640881009
-6.43609022556391,2.6734065334176087e-05,0.007389882533653621
-6.3959899749373434,2.9972713403187667e-05,0.007351238451563458
-6.355889724310777,3.3579694086920885e-05,0.007306606085695645
-6.315789473684211,3.7593869379091785e-05,0.007256508555751661
-6.275689223057644,4.205783755746007e-05,0.0072015194095169524
-6.235588972431078,4.701825086579511e-05,0.007142262452063253
-6.195488721804511,5.252615571019043e-05,0.00707941139368023
-6.155388471177945,5.8637356499560525e-05,0.0070136893060017145
-6.1152882205513786,6.541280426876201e-05,0.006945867876590985
-6.075187969924812,7.291901122552447e-05,0.006876766453377796
-6.035087719298246,8.122849235854941e-05,0.006807250871788218
-5.994987468671679,9.04202352329981e-05,0.006738232059160278
-5.954887218045113,0.00010058019908036393,0.006670664413068392
-5.9147869674185465,0.00011180184426161852,0.006605543952454987
-5.87468671679198,0.00012418669314470944,0.006543906242949354
-5.834586466165414,0.00013784492338911507,0.006486824100395616
-5.794486215538847,0.00015289599457038127,0.006435405079363873
-5.754385964912281,0.00016946930900549502,0.006390788756226846
-5.714285714285714,0.00018770490755471616,0.006354143819191804
-5.674185463659148,0.00020775420107621396,0.006326664980426191
-5.634085213032582,0.00022978073809568075,0.0063095697280469345
-5.593984962406015,0.0002539610091231666,0.006304094938200502
-5.553884711779449,0.00028048528790287425,0.006311493369688312
-5.513784461152882,0.0003095585097177936,0.00633303006553843
-5.473684210526316,0.00034140118668910376,0.006369978687541982
-5.4335839598997495,0.0003762503598095301,0.006423617811019177
